%eval_id interface             Lv       CURVE1_1 
1            NO_ID          8.405 0.000221068745 
2            NO_ID    6.992555983 0.000278538418 
3            NO_ID    7.724135692 0.0002479136471 
4            NO_ID    8.243832098 0.0002276277236 
5            NO_ID     6.87895074 0.0002840920272 
6            NO_ID    6.423047414 0.0003084772603 
7            NO_ID    7.334291954 0.0002632991246 
8            NO_ID     10.3858359 0.0001892441758 
9            NO_ID    7.718780325 0.0002481184535 
10           NO_ID    6.766394259 0.0002898269351 
11           NO_ID    7.033717686 0.0002765870405 
12           NO_ID    8.824030062 0.0002045978402 
13           NO_ID    8.309395363 0.0002249687062 
14           NO_ID    8.968562451 0.0001996691193 
15           NO_ID    8.307030188 0.0002250649208 
16           NO_ID    8.485731711 0.0002177751284 
17           NO_ID     9.27960646 0.0001914347681 
18           NO_ID    9.481739457 0.0001880779306 
19           NO_ID    10.08888161 0.0001865518291 
20           NO_ID    10.48081015 0.0001904235242 
21           NO_ID    10.49566778 0.0001906194135 
22           NO_ID    9.302505491 0.0001909739299 
23           NO_ID     8.68895171 0.0002096616885 
24           NO_ID    8.589604266 0.0002135786026 
25           NO_ID    9.313352778 0.0001907628469 
26           NO_ID    7.582952344 0.0002533440308 
27           NO_ID    7.192358996 0.0002693700323 
28           NO_ID    7.572308096 0.0002537575601 
29           NO_ID    9.081429632 0.000196272304 
30           NO_ID    9.811915915 0.0001858426043 
31           NO_ID    8.789030358 0.0002058736645 
32           NO_ID    6.759648888 0.0002901775365 
33           NO_ID    8.215786607 0.0002287591127 
34           NO_ID    7.833795086 0.0002437214336 
35           NO_ID    8.908728325 0.000201637597 
36           NO_ID     8.29425156 0.0002255844164 
37           NO_ID    8.219130263 0.0002286244403 
38           NO_ID    8.396937263 0.0002213980889 
39           NO_ID    7.847995764 0.000243177529 
40           NO_ID    10.36817167 0.000189039671 
41           NO_ID    10.41201336 0.0001895560999 
42           NO_ID    10.37632673 0.0001891334758 
43           NO_ID    9.982934646 0.0001860430414 
44           NO_ID    8.791507445  0.00020578245 
45           NO_ID    8.149720709 0.0002314070833 
46           NO_ID    9.963738023 0.0001859806762 
47           NO_ID    8.604822498 0.0002129709458 
48           NO_ID    8.319475955 0.0002245584285 
49           NO_ID    7.061971973 0.0002752665077 
50           NO_ID     7.68154411 0.0002495440819 
51           NO_ID    10.24491705 0.0001877579924 
52           NO_ID    8.607069272 0.000212881435 
53           NO_ID    8.595221181 0.000213354051 
54           NO_ID     6.98143698 0.0002790711443 
55           NO_ID    6.707258517 0.0002929256115 
56           NO_ID    7.675040969 0.0002497934334 
57           NO_ID    7.427672299 0.0002594760629 
58           NO_ID    8.682930039 0.0002098952859 
59           NO_ID    8.068573173 0.0002346232377 
60           NO_ID    7.160974383 0.000270760133 
61           NO_ID    7.655741045 0.0002505343011 
62           NO_ID    7.662344835 0.0002502806483 
63           NO_ID    8.634871468 0.0002117784818 
64           NO_ID    7.534941166 0.0002552160051 
65           NO_ID    7.361655361 0.0002621661165 
66           NO_ID    8.031636731 0.0002360736072 
67           NO_ID    6.332177899 0.0003136134095 
68           NO_ID     6.33928406 0.0003132099666 
69           NO_ID    6.838151736 0.0002861450039 
70           NO_ID    7.845703031 0.0002432653763 
71           NO_ID    8.987100065 0.0001990818568 
72           NO_ID    9.620630858 0.0001866752766 
73           NO_ID    9.555598443 0.0001872437573 
74           NO_ID    9.292473376 0.0001911732803 
75           NO_ID    9.083416038 0.0001962164885 
76           NO_ID    9.089445517 0.0001960479411 
77           NO_ID    7.544145777 0.000254855708 
78           NO_ID    7.265763343 0.0002661878372 
79           NO_ID    7.758537133 0.0002465987718 
80           NO_ID    8.275103806 0.0002263616859 
81           NO_ID    6.360462293 0.000312009205 
82           NO_ID    6.932461727 0.0002814457682 
83           NO_ID    7.740111744 0.0002473028944 
84           NO_ID    6.893364888 0.0002833739705 
85           NO_ID    7.116131296 0.0002727781931 
86           NO_ID    7.938572026 0.0002396931672 
87           NO_ID    8.408441224 0.0002209281792 
88           NO_ID    9.565200266 0.0001871501906 
89           NO_ID    9.632737388 0.0001865861163 
90           NO_ID    10.02648275 0.0001862192066 
91           NO_ID    9.826898631 0.0001858267085 
92           NO_ID    9.071754204 0.0001965461996 
93           NO_ID    6.541461077 0.0003018839358 
94           NO_ID    7.645453799 0.0002509297848 
95           NO_ID     6.99085118 0.0002786199431 
96           NO_ID    8.735175469 0.0002078886231 
97           NO_ID    8.889714011 0.0002022852942 
98           NO_ID    6.626674974 0.0002972336425 
99           NO_ID    6.884208337 0.0002838296708 
100          NO_ID    8.256867318 0.0002271005355 
101          NO_ID    8.493980505 0.0002174395724 
102          NO_ID    7.556335687 0.0002543796275 
103          NO_ID    9.235161837 0.0001923880676 
104          NO_ID    8.210311196 0.0002289795156 
105          NO_ID    7.602929295 0.0002525699576 
106          NO_ID    7.788441871 0.0002454560441 
107          NO_ID    6.951777768 0.000280503749 
108          NO_ID    8.338266677 0.0002237928603 
109          NO_ID    6.914702674 0.0002823180741 
110          NO_ID    7.588310728 0.0002531361503 
111          NO_ID    6.666968137 0.0002950678294 
112          NO_ID     7.92085151 0.000240377374 
113          NO_ID    8.247715561 0.0002274707481 
114          NO_ID    9.584504273 0.0001869722503 
115          NO_ID    9.370784732 0.000189722542 
116          NO_ID    9.673636084 0.0001863226144 
117          NO_ID    10.39709243 0.0001893770277 
118          NO_ID    10.46561353 0.0001902262192 
119          NO_ID    8.247025263 0.0002274986563 
120          NO_ID    10.04724015 0.0001863196181 
121          NO_ID    8.717656052 0.0002085562725 
122          NO_ID     9.74681749 0.0001859919401 
123          NO_ID    8.202494909 0.0002292938621 
124          NO_ID    7.395626003 0.0002607745469 
125          NO_ID    8.401643411 0.0002212058545 
126          NO_ID    7.625657687 0.0002516921622 
127          NO_ID    6.589316705 0.0002992612641 
128          NO_ID    6.880985482 0.0002839904324 
129          NO_ID    7.801157197 0.0002449700082 
130          NO_ID     8.76255865 0.0002068567001 
131          NO_ID     8.46791214 0.0002185008689 
