%mcmc_id interface             Lv       CURVE1_1 
1            NO_ID            8.5 0.0002171948837 
2            NO_ID    8.660439995 0.0002107725648 
3            NO_ID    8.453173662 0.0002191018411 
4            NO_ID     8.02298426 0.0002364121687 
5            NO_ID    8.163094022 0.0002308731396 
6            NO_ID    8.042848741 0.0002356342278 
7            NO_ID    8.150281163 0.0002313847284 
8            NO_ID    8.477277734 0.000218119301 
9            NO_ID     8.52052421 0.0002163619008 
10           NO_ID    8.418609974 0.0002205128314 
11           NO_ID    8.163946951 0.0002308390488 
12           NO_ID    8.428248135 0.000220119217 
13           NO_ID    8.403056233 0.0002211481437 
14           NO_ID    8.197755179 0.0002294843139 
15           NO_ID    8.196064374 0.0002295522232 
16           NO_ID    8.109365222 0.0002330116499 
17           NO_ID    8.249202567 0.0002274106218 
18           NO_ID    8.580009948 0.0002139628584 
19           NO_ID    8.509871572 0.0002167939739 
20           NO_ID    8.573236363 0.000214234648 
21           NO_ID    8.664987094 0.0002105946004 
22           NO_ID    8.861582486 0.0002032619223 
23           NO_ID    8.676778217 0.0002101345088 
24           NO_ID    8.437046999 0.0002197599649 
25           NO_ID    8.774729014 0.0002064029034 
26           NO_ID    8.756971798 0.0002070660367 
27           NO_ID    8.513971125 0.0002166276233 
28           NO_ID    8.171945434 0.0002305191457 
29           NO_ID    8.311326492 0.0002248901348 
30           NO_ID     8.65098854 0.0002111433944 
31           NO_ID    8.075185148 0.0002343627218 
32           NO_ID    8.117383269 0.0002326936525 
33           NO_ID    8.143530431 0.000231653868 
34           NO_ID    8.244026372 0.0002276198725 
35           NO_ID    8.507820036 0.000216877253 
36           NO_ID      8.6745512 0.0002102212507 
37           NO_ID    8.656123743 0.0002109417619 
38           NO_ID    8.656932492 0.0002109100393 
39           NO_ID    8.581134253 0.0002139177855 
40           NO_ID    8.564174721 0.0002145988634 
41           NO_ID    8.830699748 0.0002043579918 
42           NO_ID    8.829983916 0.0002043836819 
43           NO_ID    8.552041339 0.0002150875788 
44           NO_ID    8.715764396 0.0002086286909 
45           NO_ID    8.609565422 0.0002127820523 
46           NO_ID    8.619369912 0.0002123923546 
47           NO_ID    8.857852179 0.0002033930163 
48           NO_ID    8.992899572 0.0001989004176 
49           NO_ID    8.777967998 0.000206282655 
50           NO_ID    8.858301445 0.0002033772085 
51           NO_ID    8.914366752 0.0002014475214 
52           NO_ID    8.984859305 0.0001991522536 
53           NO_ID    8.819333296 0.0002047673861 
54           NO_ID    8.043118951 0.0002356236294 
55           NO_ID    8.308413056 0.0002250086685 
56           NO_ID     8.43749733 0.0002197415809 
57           NO_ID    8.167990363 0.0002306773783 
58           NO_ID     8.08691505 0.0002338998858 
59           NO_ID    8.647267359 0.0002112897268 
60           NO_ID    8.590840133 0.000213529169 
61           NO_ID    8.819590215 0.000204758098 
62           NO_ID    8.874254568 0.0002028193403 
63           NO_ID    8.840522655 0.0002040067437 
64           NO_ID    8.745835105 0.0002074851814 
65           NO_ID    8.726693827 0.000208211155 
66           NO_ID    8.903740851 0.0002018064936 
67           NO_ID    8.911960087 0.0002015285391 
68           NO_ID    8.971555231 0.0001995735631 
69           NO_ID     8.86688266 0.0002030762891 
70           NO_ID    8.781174739 0.0002061638246 
71           NO_ID    8.649359286 0.0002112074408 
72           NO_ID    8.826708148 0.0002045014035 
73           NO_ID    8.529362416 0.0002160039064 
74           NO_ID    8.245574776 0.0002275572909 
75           NO_ID    8.392906565 0.0002215627285 
76           NO_ID    8.562966528 0.0002146474758 
77           NO_ID    8.922708845 0.0002011680061 
78           NO_ID    8.759207924 0.0002069821744 
79           NO_ID    8.777833623 0.0002062876393 
80           NO_ID    8.281454905 0.0002261040365 
81           NO_ID    8.148801717 0.0002314437351 
82           NO_ID    8.074133389 0.0002344041799 
83           NO_ID    8.146596311 0.0002315316714 
84           NO_ID    8.313720146 0.0002247927279 
85           NO_ID    8.879976866 0.0002026209001 
86           NO_ID    8.624086685 0.0002122052656 
87           NO_ID    8.700416936 0.0002092185144 
88           NO_ID    8.498403283 0.0002172597736 
89           NO_ID    8.200983861 0.0002293545927 
90           NO_ID    8.052299888 0.0002352632623 
91           NO_ID    8.019904252 0.0002365325791 
92           NO_ID    8.025382265 0.0002363183819 
93           NO_ID    8.293767872 0.0002256040684 
94           NO_ID     8.67396373 0.0002102441448 
95           NO_ID    8.741173908 0.0002076613302 
96           NO_ID    8.800276058 0.0002054606617 
97           NO_ID    8.662977837 0.0002106732027 
98           NO_ID    8.637940088 0.0002116573079 
99           NO_ID    8.679003375 0.0002100479138 
100          NO_ID    8.562714928 0.0002146576005 
101          NO_ID    8.485300729 0.0002177926679 
102          NO_ID    8.478198437 0.0002180818056 
103          NO_ID    8.338086873 0.0002238001902 
104          NO_ID    8.699686877 0.0002092466702 
105          NO_ID    8.576728721 0.0002140944666 
106          NO_ID    8.905888541 0.0002017336763 
107          NO_ID    8.968018964 0.0001996865028 
108          NO_ID    8.744108884 0.0002075503673 
109          NO_ID    8.861576331 0.0002032621383 
110          NO_ID    8.947374513 0.0002003536931 
111          NO_ID    8.877839359 0.0002026949212 
112          NO_ID    8.579741528 0.0002139736209 
113          NO_ID    8.752835766 0.000207221416 
114          NO_ID    8.777581145 0.0002062970053 
115          NO_ID    8.304425626 0.0002251708518 
116          NO_ID    8.087300905 0.0002338846462 
117          NO_ID    8.312571778 0.0002248394616 
118          NO_ID      8.6016446 0.0002130976431 
119          NO_ID    8.659314642 0.0002108166538 
120          NO_ID    8.141330412 0.0002317415184 
121          NO_ID      8.0528838 0.0002352403253 
122          NO_ID    8.050179854 0.0002353465228 
123          NO_ID     8.30588651 0.0002251114386 
124          NO_ID    8.448629636 0.0002192872314 
125          NO_ID    8.109693269 0.0002329986474 
126          NO_ID    8.188927683 0.0002298386818 
127          NO_ID    8.259379255 0.0002269988528 
128          NO_ID    8.485545583 0.0002177827031 
129          NO_ID    8.966107381 0.0001997477194 
130          NO_ID    8.964213978 0.0001998084679 
131          NO_ID    8.883581993 0.0002024963389 
132          NO_ID    8.518265492 0.0002164534634 
133          NO_ID    8.955458009 0.0002000908638 
134          NO_ID    8.730514016 0.0002080657204 
135          NO_ID    8.841979865 0.0002039548418 
136          NO_ID    8.652425194 0.0002110869485 
137          NO_ID     8.23814138 0.0002278576179 
138          NO_ID    8.006170301 0.000237068824 
139          NO_ID    8.380658961 0.0002220629463 
140          NO_ID    8.304434731 0.0002251704816 
141          NO_ID    8.197504207 0.0002294943949 
142          NO_ID    8.130476375 0.0002321735142 
143          NO_ID    8.523633501 0.0002162359055 
144          NO_ID    8.662111153 0.0002107071251 
145          NO_ID    8.172910374 0.0002304805267 
146          NO_ID    8.451983742 0.000219150384 
147          NO_ID    8.525023078 0.000216179615 
148          NO_ID    8.901032743 0.0002018984999 
149          NO_ID    8.554928958 0.0002149711666 
150          NO_ID    8.182546657 0.0002300945612 
151          NO_ID    8.384987776 0.0002218861602 
152          NO_ID    8.605425445 0.0002129469193 
153          NO_ID    8.796778266 0.0002055888155 
154          NO_ID    8.746167969 0.0002074726183 
155          NO_ID     8.12532165 0.0002323784189 
156          NO_ID     8.26475718 0.0002267810591 
157          NO_ID    8.481000411 0.0002179677142 
158          NO_ID    8.477863219 0.000218095457 
159          NO_ID    8.243738845 0.0002276314922 
160          NO_ID    8.844354307 0.0002038703853 
161          NO_ID    8.302659928 0.0002252426518 
162          NO_ID    8.745389826 0.0002075019906 
163          NO_ID    8.805359667 0.0002052749025 
164          NO_ID    8.674391281 0.0002102274823 
165          NO_ID    8.286117429 0.0002259147843 
166          NO_ID    8.378508701 0.0002221507555 
167          NO_ID    8.156864743 0.0002311219849 
