T,lambda,G,nu_l,rho_l,gamma,r,h_0,u_0,ts_dt,R,volume,time
130.1235552,0.003533008,16.10400913,2.75E-06,739.9353371,0.026091351,0.000137392,0.000883252,0.003961105,5.00E-05,0.002649756,,
101.6720598,0.003349053,19.47282895,4.01E-06,757.9409497,0.028082956,0.000249455,0.000837263,0.007587014,5.00E-05,0.00251179,,
257.8934379,0.006619503,26.66968943,1.17E-06,659.0757911,0.017147459,0.000666545,0.001654876,0.010256615,1.00E-05,0.004964627,9.32E-09,0.00383093
117.1922157,0.00698329,14.472782,3.22E-06,748.1189734,0.026996545,9.89E-05,0.001745823,0.001442634,5.00E-05,0.005237468,1.09E-08,0.00630352
117.4357541,0.00845934,15.3151483,3.21E-06,747.9648494,0.026979497,0.000117585,0.002114835,0.001415848,5.00E-05,0.006344505,1.93E-08,0.00803008
179.0638481,0.003545437,26.39545237,1.75E-06,708.9633288,0.022665531,0.00064557,0.000886359,0.01854701,1.00E-05,0.002659078,1.44E-09,0.00185207
160.3289723,0.003718453,17.21898321,2.03E-06,720.8197501,0.023976972,0.000169393,0.000929613,0.004640165,5.00E-05,0.00278884,,
259.7648193,0.007800337,27.08162101,1.16E-06,657.8914819,0.017016463,0.000698878,0.001950084,0.009126159,1.00E-05,0.005850253,1.52E-08,0.00487797
176.0907672,0.006916553,23.73687991,1.79E-06,710.8448518,0.022873646,0.000464202,0.001729138,0.006836243,1.00E-05,0.005187415,1.05E-08,0.00459953
144.4275774,0.003651138,10.40728875,2.36E-06,730.8829946,0.02509007,4.08E-05,0.000912785,0.001139548,5.00E-05,0.002738354,,
223.4116423,0.006835117,10.03473122,1.35E-06,680.8976968,0.019561185,3.79E-05,0.001708779,0.000564779,5.00E-05,0.005126337,1.01E-08,0.00790234
216.9604403,0.00638512,15.65801662,1.39E-06,684.980359,0.020012769,0.000125913,0.00159628,0.002008641,5.00E-05,0.00478884,8.33E-09,0.0046376
74.86788864,0.009396668,24.66896219,6.39E-06,774.9040482,0.029959248,0.000523362,0.002349167,0.005673201,1.00E-05,0.007047501,,
220.8300174,0.003662176,22.87857444,1.36E-06,682.5314858,0.019741899,0.000413775,0.000915544,0.01150866,1.00E-05,0.002746632,1.57E-09,0.00179266
76.33387268,0.003400092,19.68294335,6.21E-06,773.9762959,0.029856629,0.000258029,0.000850023,0.007729961,5.00E-05,0.002550069,,
100.1373769,0.003633575,10.76155145,4.11E-06,758.9121783,0.028190384,4.40E-05,0.000908394,0.001233119,5.00E-05,0.002725181,1.52E-09,0.00331914
94.05574938,0.004352935,22.04348636,4.52E-06,762.7609541,0.028616098,0.000368315,0.001088234,0.00861861,1.00E-05,0.003264701,,
222.8606738,0.003413511,12.33412758,1.35E-06,681.2463789,0.019599753,6.21E-05,0.000853378,0.001854228,5.00E-05,0.002560133,,
91.63705439,0.005588203,26.29765884,4.71E-06,764.2916324,0.028785406,0.000638196,0.001397051,0.011632748,1.00E-05,0.004191152,,
170.1026577,0.005530739,15.405802,1.88E-06,714.6344446,0.023292814,0.000119746,0.001382685,0.002205347,5.00E-05,0.004148054,5.41E-09,0.0040082
143.693991,0.007695519,29.29162997,2.38E-06,731.3472469,0.025141421,0.000889863,0.00192388,0.011778371,1.00E-05,0.005771639,1.47E-08,0.00528121
193.799143,0.004603617,16.00486025,1.59E-06,699.6380541,0.02163406,0.000134776,0.001150904,0.002982042,5.00E-05,0.003452713,,
84.58500562,0.004002337,20.48452387,5.32E-06,768.7545422,0.02927905,0.00029256,0.001000584,0.00744564,1.00E-05,0.003001753,,
222.3290607,0.006738367,20.28182596,1.35E-06,681.5828118,0.019636966,0.000283552,0.001684592,0.004286253,1.00E-05,0.005053775,9.66E-09,0.00451516
237.3477125,0.009629724,21.14671752,1.26E-06,672.0782138,0.01858566,0.000323323,0.002407431,0.003419971,1.00E-05,0.007222293,2.82E-08,0.00732168
95.49674922,0.009340018,17.12047282,4.42E-06,761.8490131,0.028515228,0.000166371,0.002335004,0.001814384,5.00E-05,0.007005013,2.61E-08,0.0093623
207.6661191,0.004313738,28.40531599,1.46E-06,690.8622975,0.020663372,0.000809655,0.001078435,0.01911817,1.00E-05,0.003235304,2.62E-09,0.002185
179.8583099,0.009749133,18.97434894,1.74E-06,708.4605513,0.022609918,0.000229893,0.002437283,0.002401932,5.00E-05,0.00731185,2.91E-08,0.00813437
68.60473702,0.008826449,25.59578398,7.26E-06,778.8677022,0.030397668,0.000586882,0.002206612,0.006772745,1.00E-05,0.006619837,,
145.6240628,0.003440008,20.95524092,2.33E-06,730.1257953,0.025006316,0.000314216,0.000860002,0.009303984,1.00E-05,0.002580006,1.29E-09,0.00196762
115.4195684,0.005209604,19.27288513,3.30E-06,749.2407984,0.02712063,0.000241478,0.001302401,0.004721431,5.00E-05,0.003907203,4.56E-09,0.00382051
134.2789403,0.009686169,11.7571124,2.63E-06,737.3055895,0.025800474,5.47E-05,0.002421542,0.000574762,5.00E-05,0.007264627,2.88E-08,0.0108904
251.7663327,0.007947264,15.44496454,1.20E-06,662.9533476,0.017576357,0.000120688,0.001986816,0.001546847,5.00E-05,0.005960448,1.60E-08,0.0062043
266.1938353,0.004421241,29.96406182,1.14E-06,653.8228602,0.016566432,0.000954044,0.00110531,0.021979819,1.00E-05,0.003315931,2.84E-09,0.00208949
205.8804,0.008207807,26.25350882,1.48E-06,691.9923951,0.020788372,0.000634886,0.002051952,0.007878951,1.00E-05,0.006155855,1.77E-08,0.00549602
168.7785993,0.003881846,12.83557632,1.90E-06,715.4723788,0.023385498,6.95E-05,0.000970462,0.001822452,5.00E-05,0.002911385,,
191.1983283,0.00964309,24.86716264,1.61E-06,701.2839873,0.021816117,0.000536547,0.002410773,0.005667496,1.00E-05,0.007232318,2.85E-08,0.00716031
267.976857,0.004121421,10.87573277,1.13E-06,652.6944696,0.01644162,4.51E-05,0.001030355,0.001113952,5.00E-05,0.003091066,,
98.0446918,0.008934935,12.47780639,4.24E-06,760.2365402,0.028336872,6.42E-05,0.002233734,0.00073139,5.00E-05,0.006701201,2.27E-08,0.0102066
86.71298227,0.006776717,15.93960674,5.12E-06,767.4078459,0.029130091,0.000133075,0.001694179,0.002000212,5.00E-05,0.005082538,9.94E-09,0.00656562
269.4238826,0.007067669,25.4498651,1.13E-06,651.7787152,0.016340328,0.000576564,0.001766917,0.008309437,1.00E-05,0.005300751,1.13E-08,0.00430413
265.1911912,0.009591021,22.16815389,1.14E-06,654.4573864,0.016636617,0.00037488,0.002397755,0.003981328,1.00E-05,0.007193266,2.79E-08,0.00703586
160.4318187,0.006042929,20.59177927,2.03E-06,720.7546634,0.023969773,0.000297404,0.001510732,0.005013019,1.00E-05,0.004532196,6.97E-09,0.00405522
108.5325014,0.004095677,10.58999373,3.63E-06,753.599299,0.027602725,4.24E-05,0.001023919,0.001055119,5.00E-05,0.003071758,2.18E-09,0.00377969
203.4223092,0.006688838,12.85638955,1.50E-06,693.5480051,0.020960438,6.98E-05,0.001672209,0.001062532,5.00E-05,0.005016628,9.53E-09,0.00563437
92.35254491,0.007002509,28.87113392,4.65E-06,763.8388321,0.028735322,0.000851195,0.001750627,0.012381558,1.00E-05,0.005251882,,
148.5148626,0.003523817,10.57069173,2.27E-06,728.2963441,0.02480396,4.23E-05,0.000880954,0.001221407,5.00E-05,0.002642862,,
122.7472906,0.006460321,28.9529876,3.00E-06,744.6034279,0.02660769,0.000858634,0.00161508,0.01353799,1.00E-05,0.004845241,,
158.0126377,0.009501435,29.93169649,2.08E-06,722.2856493,0.024139115,0.000950888,0.002375359,0.010193894,1.00E-05,0.007126076,2.77E-08,0.0068207
195.3098571,0.005308299,14.38178016,1.57E-06,698.6819942,0.02152831,9.70E-05,0.001327075,0.001861956,5.00E-05,0.003981224,4.78E-09,0.00380918
264.2335959,0.007747714,16.83429044,1.14E-06,655.0634034,0.016703648,0.000157808,0.001936928,0.002074695,5.00E-05,0.005810785,1.46E-08,0.00577187
132.5952924,0.005721507,15.03338349,2.68E-06,738.371091,0.02591833,0.000111058,0.001430377,0.001977158,5.00E-05,0.00429113,5.98E-09,0.00455586
182.7425021,0.009223085,20.0480662,1.71E-06,706.6352819,0.022408025,0.000273396,0.002305771,0.003019371,1.00E-05,0.006917314,2.47E-08,0.00735016
104.1743527,0.00944882,24.19248306,3.86E-06,756.3573663,0.027907795,0.000492538,0.002362205,0.005309605,1.00E-05,0.007086615,2.67E-08,0.00831744
188.3552055,0.007385627,21.57069894,1.64E-06,703.083266,0.022015136,0.000344109,0.001846407,0.004745799,1.00E-05,0.00553922,1.27E-08,0.00516906
249.932237,0.008731652,19.5114014,1.20E-06,664.1140605,0.017704743,0.000251015,0.002182913,0.002928212,5.00E-05,0.006548739,2.10E-08,0.00648906
118.9581675,0.007785328,13.00857854,3.15E-06,747.0013856,0.026872928,7.22E-05,0.001946332,0.000944065,5.00E-05,0.005838996,1.50E-08,0.00773398
266.8956347,0.004762992,16.04185031,1.13E-06,653.3787243,0.016517306,0.000135748,0.001190748,0.002903037,5.00E-05,0.003572244,,
196.1556946,0.009855748,21.73918587,1.56E-06,698.1467035,0.021469101,0.00035261,0.002463937,0.003644229,1.00E-05,0.007391811,3.02E-08,0.00773406
146.5157315,0.006275762,14.25385308,2.31E-06,729.5615002,0.024943899,9.45E-05,0.00156894,0.001533021,5.00E-05,0.004706821,7.88E-09,0.00515937
200.9124337,0.009505347,19.77204659,1.52E-06,695.1363872,0.02113613,0.000261724,0.002376337,0.002804626,5.00E-05,0.00712901,2.70E-08,0.00756445
182.4090665,0.009825817,18.23453552,1.71E-06,706.8462975,0.022431365,0.000202833,0.002456454,0.002102668,5.00E-05,0.007369363,2.97E-08,0.00833047
225.6682315,0.007466313,14.09343598,1.33E-06,679.4696077,0.019403224,9.13E-05,0.001866578,0.001245477,5.00E-05,0.005599735,1.33E-08,0.00607109
201.9872093,0.006065884,22.66121802,1.51E-06,694.4562123,0.021060895,0.000401605,0.001516471,0.006743806,1.00E-05,0.004549413,7.09E-09,0.00377916
125.5518199,0.00767255,24.70306872,2.90E-06,742.8285733,0.026411373,0.000525615,0.001918137,0.006977958,1.00E-05,0.005754412,1.44E-08,0.00568832
208.0825856,0.006731524,26.10039659,1.46E-06,690.5987355,0.020634219,0.00062349,0.001682881,0.009434443,1.00E-05,0.005048643,9.78E-09,0.00409267
240.5838667,0.003601741,26.96307502,1.25E-06,670.0302041,0.018359129,0.000689471,0.000900435,0.019498596,1.00E-05,0.002701306,1.52E-09,0.00166406
